Aqueous UO2++ in Granite,Aqueous UO2++ in Bentonite,Adsorbed UO2++ in Bentonite
2.4580711482514067e-14,5.2494784632223597e-17,6.522362197932031e-12
4.119821463349503e-14,4.199550820766858e-14,2.3149729031605025e-09
2.0514942535090137e-13,1.0990554496152863e-13,4.903212795733028e-09
5.271927375836107e-13,1.5693442520152415e-13,7.172702043134383e-09
9.404775905613509e-13,2.0067181678996896e-13,8.908230232894366e-09
1.4347245892066426e-12,2.42020286744177e-13,1.0373123686438024e-08
1.994396775877532e-12,2.7797908645278043e-13,1.1629829436979408e-08
2.5945560470318986e-12,3.0524150917713034e-13,1.2688881700603143e-08
3.2239350632908764e-12,3.291589473013699e-13,1.3573884677139829e-08
3.877547958625929e-12,3.5051444229360735e-13,1.432415254741801e-08
4.551565568639994e-12,3.69789547460712e-13,1.496787014215278e-08
5.2431192632430505e-12,3.873670123370167e-13,1.552734112837291e-08
5.949838837940255e-12,4.034799192804273e-13,1.601633988830355e-08
6.669629850445122e-12,4.183164926244724e-13,1.644659394319919e-08
7.40101028803935e-12,4.320753295125201e-13,1.6829277065964408e-08
8.142761758470512e-12,4.4491657654176356e-13,1.7172914273815897e-08
8.893744601718963e-12,4.569447431134546e-13,1.7483335732876798e-08
9.653325087966248e-12,4.682676243904778e-13,1.7765351052822546e-08
1.041973277361503e-11,4.787952740466607e-13,1.801800210299125e-08
1.1192489046116589e-11,4.887611976893406e-13,1.825044879863206e-08
1.1971454574093412e-11,4.982975930469211e-13,1.8468980583707568e-08
1.2755529160504188e-11,5.07215278311176e-13,1.866617439456892e-08
1.3543808237495975e-11,5.156109318413784e-13,1.8846738601323068e-08
1.4336182926580437e-11,5.236993194650985e-13,1.901898790670381e-08
1.5131993531738016e-11,5.313157936261505e-13,1.917699645663319e-08
1.5930381876347792e-11,5.385247439586308e-13,1.932373718943423e-08
1.673143290978063e-11,5.455477799202025e-13,1.946731143116229e-08
1.7534836065297815e-11,5.52216182717546e-13,1.960158474304058e-08
1.8339908308936375e-11,5.585264289387459e-13,1.972660520150723e-08
1.9146153459282118e-11,5.645283184653738e-13,1.984465139183813e-08
1.995319018696628e-11,5.702511528404841e-13,1.995649131135227e-08
2.0760728264247197e-11,5.757571461429257e-13,2.0064705228212722e-08
2.1569107893466144e-11,5.812182862807306e-13,2.0174953477656558e-08
2.2377892148863826e-11,5.863683782746445e-13,2.027805575070821e-08
2.3186175412953605e-11,5.912130157427097e-13,2.037427962844016e-08
2.399412582327463e-11,5.960102453107021e-13,2.0472529483552342e-08
2.4801699463254443e-11,6.005963093227943e-13,2.056695627857075e-08
2.5608416921859084e-11,6.049433993703695e-13,2.0656622880156e-08
2.6413918196613244e-11,6.090890005930144e-13,2.074279902559569e-08
2.721793688358079e-11,6.130480444238434e-13,2.0825937684781087e-08
2.8020285520188852e-11,6.168341016450636e-13,2.090639402255227e-08
2.8820707549289727e-11,6.204668567167209e-13,2.098483915981889e-08
2.961905863791447e-11,6.239329746947445e-13,2.106069848215504e-08
3.0415136611379136e-11,6.272971592604798e-13,2.113608313983914e-08
3.120905801362605e-11,6.306175865921119e-13,2.121290071161501e-08
3.200112894500459e-11,6.339120934800676e-13,2.129144528499575e-08
3.2790834108275545e-11,6.369915706425133e-13,2.136533089827132e-08
3.357757700923007e-11,6.398153866963615e-13,2.143316806194106e-08
3.436126634308984e-11,6.425652560184611e-13,2.1501037011567168e-08
3.514197336509195e-11,6.453136677731077e-13,2.157113002213397e-08
3.591977013801324e-11,6.479241560256502e-13,2.163885960823976e-08
3.6694353617982846e-11,6.503783747855361e-13,2.170343493920732e-08
3.746549245446713e-11,6.527066110478867e-13,2.1765817953955077e-08
3.8232987569317124e-11,6.548917189697934e-13,2.182534437445376e-08
3.899672240969819e-11,6.569791970881855e-13,2.188345498873709e-08
3.9756580834030486e-11,6.589600514126274e-13,2.193976830157083e-08
4.0512546796814115e-11,6.609149763209976e-13,2.199673357275358e-08
4.1264592893064104e-11,6.627108619723272e-13,2.2050304563052552e-08
4.201242114929218e-11,6.644284855881842e-13,2.210264157776675e-08
4.2756099024647933e-11,6.660616958731449e-13,2.215354886804287e-08
4.3495408168757644e-11,6.67591634993143e-13,2.220241495913035e-08
4.4230383461679233e-11,6.691000369571258e-13,2.225189462093965e-08
4.496121727563876e-11,6.706407873804434e-13,2.23036669149624e-08
4.5688212205731516e-11,6.721959744059979e-13,2.2357000266736068e-08
4.6411329736856467e-11,6.737181440837655e-13,2.241029832174954e-08
4.713026840614556e-11,6.75063917506952e-13,2.24586982858686e-08
4.784470183765773e-11,6.763079669461937e-13,2.250466060871039e-08
4.855442674962498e-11,6.773964820457195e-13,2.254632520556635e-08
4.925924865925589e-11,6.784071829385191e-13,2.258624169346188e-08
4.995926411384729e-11,6.793830341933179e-13,2.2625922067630183e-08
5.065466926650059e-11,6.804134126623593e-13,2.266808921932537e-08
5.134560855171948e-11,6.814280037727124e-13,2.271040678688646e-08
5.203209939237147e-11,6.823998527301523e-13,2.275195166271299e-08
5.271411829112911e-11,6.833248243322777e-13,2.279250085890488e-08
5.339152656887119e-11,6.841649193340302e-13,2.283075611055161e-08
5.4064205998381023e-11,6.849500959559502e-13,2.286769725680138e-08
5.4732173874500134e-11,6.856693372987391e-13,2.290291034904641e-08
5.539529783806196e-11,6.86336197423455e-13,2.293684713108827e-08
5.605372400568346e-11,6.870007596635989e-13,2.297106942432127e-08
5.6707313615079397e-11,6.8758361890916e-13,2.300295765186194e-08
5.7356094217385227e-11,6.881488363901016e-13,2.3034605254999597e-08
5.800014773488317e-11,6.88710304781305e-13,2.3066435264938313e-08
5.863945323609529e-11,6.892072866441561e-13,2.309639097197275e-08
5.927397878045641e-11,6.896821769085315e-13,2.312587942717187e-08
5.990372540411743e-11,6.901355571985031e-13,2.3154904736264378e-08
6.052881444651852e-11,6.905902662989477e-13,2.318416170214745e-08
6.114919102683367e-11,6.90981900718515e-13,2.321152592872115e-08
6.176479817375234e-11,6.913401319778226e-13,2.323796100844344e-08
6.237569243887373e-11,6.917024196927672e-13,2.326457431299886e-08
6.29819961557406e-11,6.921181727379164e-13,2.329341059612295e-08
6.358414362291663e-11,6.9266057014036e-13,2.332641010358501e-08
6.418226294157229e-11,6.931644160924544e-13,2.335829720752038e-08
6.477627074821678e-11,6.93688877676443e-13,2.339094206883978e-08
6.536612720941474e-11,6.941201615261237e-13,2.3420489444054463e-08
6.595153610082065e-11,6.944588407080227e-13,2.344691122172444e-08
6.653240627461839e-11,6.947802509886892e-13,2.347295456875849e-08
6.710879536880242e-11,6.950327276167586e-13,2.3496608085948138e-08
6.76805483621247e-11,6.95218890686412e-13,2.3518056121090563e-08
6.82476408489409e-11,6.953922559700381e-13,2.3539106538036758e-08
6.881018274958867e-11,6.955582604028202e-13,2.355990107627545e-08
